episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.15925262501696125,True,False
2,490.0,722,1107,0.1,0.023762568107081786,0.7483451250009239,True,False
3,1160.0,552,1659,0.1,0.02742135925939732,2.4563167080050334,True,False
4,680.0,600,2259,0.1,0.03168011718895286,4.254643958003726,True,False
5,330.0,461,2720,0.1,0.032801366225487134,5.59430091700051,True,False
6,680.0,514,3234,0.1,0.03226419429302041,7.063447792024817,True,False
7,570.0,540,3774,0.1,0.037754892558721755,8.61627566703828,True,False
8,1050.0,647,4421,0.1,0.03614237004198295,10.506085083005019,True,False
9,1200.0,743,5164,0.1,0.04028898780234158,12.69623587501701,True,False
10,370.0,534,5698,0.1,0.03622716987817163,14.224182832986116,True,False
11,500.0,555,6253,0.1,0.03741421879239032,15.803816375031602,True,False
12,860.0,645,6898,0.1,0.03609515840378561,17.633984457992483,True,False
13,660.0,716,7614,0.1,0.03855916272130842,19.665636875026394,True,False
14,550.0,544,8158,0.1,0.03626359250868999,21.223290292022284,True,False
15,580.0,576,8734,0.1,0.03747646469208929,22.888140042021405,True,False
16,490.0,499,9233,0.1,0.038261603387072685,24.321273000037763,True,False
17,440.0,478,9711,0.1,0.04171952356373062,25.689202458015643,True,False
18,910.0,720,10431,0.1,0.03896401541359309,27.745723208005074,True,False
19,390.0,383,10814,0.1,0.04013706837577047,28.854462624993175,True,False
20,320.0,415,11229,0.1,0.0418097850387522,30.057610791991465,True,False
21,570.0,537,11766,0.1,0.04097773371014132,31.588156583020464,True,False
22,880.0,677,12443,0.1,0.04198533966972013,33.51694562501507,True,False
23,1070.0,729,13172,0.1,0.04416194597839332,35.59115866699722,True,False
24,640.0,630,13802,0.1,0.03973636238473901,37.39440350001678,True,False
25,640.0,552,14354,0.1,0.045373492518210434,38.968649166985415,True,False
26,480.0,485,14839,0.1,0.044878513910153434,41.035293958033435,True,False
27,1070.0,596,15435,0.1,0.04937610077365433,42.740830833034124,True,False
28,420.0,494,15929,0.1,0.04751665212754761,44.16395412501879,True,False
29,380.0,414,16343,0.1,0.04760096233012607,45.39494858303806,True,False
30,300.0,361,16704,0.1,0.04824176790182489,46.446020667033736,True,False
31,1570.0,740,17444,0.1,0.04792530493861115,48.56981054198695,True,False
32,870.0,739,18183,0.1,0.04554420428694752,50.67203466698993,True,False
33,410.0,396,18579,0.1,0.04563469982075721,51.81892466702266,True,False
34,2450.0,903,19482,0.1,0.047201242079480295,54.40687574999174,True,False
35,690.0,722,20204,0.1,0.05187512836444773,56.522937041998375,True,False
36,540.0,569,20773,0.1,0.05576634049599229,58.17148279200774,True,False
37,690.0,722,21495,0.1,0.04788716051520573,60.24093783303397,True,False
38,540.0,550,22045,0.1,0.0547674459816915,61.845924583030865,True,False
39,450.0,586,22631,0.1,0.05742268942373052,63.53304633300286,True,False
40,870.0,561,23192,0.1,0.05531054186628114,65.16908716701437,True,False
41,730.0,642,23834,0.1,0.05659890648967121,67.05650220799726,True,False
